algorithm,variant,platform,runtime_us,peak_memory_kb,recompute_events
Needleman-Wunsch,Baseline,Darwin,633.2,4224,0
Needleman-Wunsch,SRF-Blocked,Darwin,2451.3,1168,319575
Needleman-Wunsch,Baseline,Linux,1160.2,4836,0
Needleman-Wunsch,SRF-Blocked,Linux,886.3,3465,319575
Needleman-Wunsch,Baseline,Windows,918.9,5944,0
Needleman-Wunsch,SRF-Blocked,Windows,854.0,4407,319575
Forward,Baseline,Darwin,29.4,1216,0
Forward,SRF-Checkpoint,Darwin,24.3,1168,883
Forward,Baseline,Linux,36.8,3428,0
Forward,SRF-Checkpoint,Linux,28.7,3637,883
Forward,Baseline,Windows,52.0,4368,0
Forward,SRF-Checkpoint,Windows,57.7,4437,883
Viterbi,Baseline,Darwin,27.0,1216,0
Viterbi,SRF-Checkpoint,Darwin,24.3,1168,883
Viterbi,Baseline,Linux,35.4,3432,0
Viterbi,SRF-Checkpoint,Linux,29.7,3656,883
Viterbi,Baseline,Windows,52.2,4380,0
Viterbi,SRF-Checkpoint,Windows,57.0,4440,883
Graph-DP,Baseline,Darwin,4.6,1232,0
Graph-DP,SRF-Recompute,Darwin,15.3,1237,9328
Graph-DP,Baseline,Linux,3.5,3460,0
Graph-DP,SRF-Recompute,Linux,13.0,3566,9328
Graph-DP,Baseline,Windows,3.7,4396,0
Graph-DP,SRF-Recompute,Windows,12.3,4466,9328
