algorithm,variant,platform,runtime_us,peak_memory_kb,recompute_events,param_1,param_2
Needleman-Wunsch,Baseline,Darwin,633.24,4224,0,0,600
Needleman-Wunsch,SRF-Blocked,Darwin,2451.3,1168,319575,23.3,600
Needleman-Wunsch,Baseline,Linux,1160.24,4836,0,0,600
Needleman-Wunsch,SRF-Blocked,Linux,886.3,3465,319575,23.3,600
Needleman-Wunsch,Baseline,Windows,918.88,5944,0,0,600
Needleman-Wunsch,SRF-Blocked,Windows,854.0,4407,319575,23.3,600
Forward,Baseline,Darwin,29.37,1216,0,0,1000
Forward,SRF-Checkpoint,Darwin,24.33,1168,883.3,11.6,1000
Forward,Baseline,Linux,36.81,3428,0,0,1000
Forward,SRF-Checkpoint,Linux,28.66,3637,883.3,11.6,1000
Forward,Baseline,Windows,51.97,4368,0,0,1000
Forward,SRF-Checkpoint,Windows,57.66,4437,883.3,11.6,1000
