algorithm,variant,platform,runtime_us,peak_memory_kb,locality_proxy,param_3
Needleman-Wunsch,Baseline,Darwin,253.7,2784,0,0
Needleman-Wunsch,SRF-Optimized,Darwin,1120.0,1168,0,64
Needleman-Wunsch,Baseline,Linux,496.2,3916,0,0
Needleman-Wunsch,SRF-Optimized,Linux,393.0,3404,0,64
Needleman-Wunsch,Baseline,Windows,475.0,4992,0,0
Needleman-Wunsch,SRF-Optimized,Windows,386.0,4408,0,64
Forward,Baseline,Darwin,23.2,1216,0,0
Forward,SRF-Optimized,Darwin,22.0,1168,4500,1
Forward,Baseline,Linux,37.0,3412,0,0
Forward,SRF-Optimized,Linux,29.0,3604,4500,1
Forward,Baseline,Windows,55.0,4376,0,0
Forward,SRF-Optimized,Windows,64.0,4456,4500,1
Graph-DP,Baseline,Darwin,4.3,1232,0,0
Graph-DP,SRF-Optimized,Darwin,10.0,1312,2,1
Graph-DP,Baseline,Linux,3.8,3412,0,0
Graph-DP,SRF-Optimized,Linux,25.0,3592,2,1
Graph-DP,Baseline,Windows,3.7,4392,0,0
Graph-DP,SRF-Optimized,Windows,25.0,4508,2,1
