algorithm,variant,platform,runtime_us,peak_memory_kb,backend_type,param_2,kernels,transfer
Needleman-Wunsch,SRF-Optimized,Darwin,7576.0,1168,cpu,1000,0,0
Needleman-Wunsch,SRF-Optimized,Darwin,8695.0,1200,gpu,1000,1000000,0
Needleman-Wunsch,SRF-Optimized,Linux,8343.0,3496,cpu,1000,0,0
Needleman-Wunsch,SRF-Optimized,Linux,8337.0,3528,gpu,1000,1000000,0
Needleman-Wunsch,SRF-Optimized,Windows,5377.0,4416,cpu,1000,0,0
Needleman-Wunsch,SRF-Optimized,Windows,5812.0,4428,gpu,1000,1000000,0
Forward,SRF-Optimized,Darwin,269.0,1200,cpu,5000,0,0
Forward,SRF-Optimized,Darwin,339.0,1200,gpu,5000,9998,0
Forward,SRF-Optimized,Linux,335.0,3852,cpu,5000,0,0
Forward,SRF-Optimized,Linux,289.0,3852,gpu,5000,9998,0
Forward,SRF-Optimized,Windows,664.0,4492,cpu,5000,0,0
Forward,SRF-Optimized,Windows,674.0,4484,gpu,5000,9998,0
Graph-DP,SRF-Optimized,Darwin,29.0,1808,cpu,10000,0,0
Graph-DP,SRF-Optimized,Darwin,27.0,1808,gpu,10000,2,0
Graph-DP,SRF-Optimized,Linux,132.0,4304,cpu,10000,0,0
Graph-DP,SRF-Optimized,Linux,111.0,4256,gpu,10000,2,0
Graph-DP,SRF-Optimized,Windows,139.0,4916,cpu,10000,0,0
Graph-DP,SRF-Optimized,Windows,148.0,4908,gpu,10000,2,0
