algorithm,variant,platform,runtime_us,peak_memory_kb,backend_type,granularity_unit_size,unit_recompute_events,unit_reuse_proxy
Needleman-Wunsch,SRF-GranularityAware,Darwin,2590,1168,cpu,1,324900,0
Needleman-Wunsch,SRF-GranularityAware,Darwin,2579,1168,cpu,10,34200,290700
Needleman-Wunsch,SRF-GranularityAware,Darwin,2579,1168,cpu,20,17100,307800
Needleman-Wunsch,SRF-GranularityAware,Darwin,2579,1168,cpu,40,8550,316350
Needleman-Wunsch,SRF-GranularityAware,Linux,3685,3460,cpu,1,324900,0
Needleman-Wunsch,SRF-GranularityAware,Linux,3646,3468,cpu,10,34200,290700
Needleman-Wunsch,SRF-GranularityAware,Linux,3658,3468,cpu,20,17100,307800
Needleman-Wunsch,SRF-GranularityAware,Linux,3724,3468,cpu,40,8550,316350
Needleman-Wunsch,SRF-GranularityAware,Windows,3535,4436,cpu,1,324900,0
Needleman-Wunsch,SRF-GranularityAware,Windows,3667,4444,cpu,10,34200,290700
Needleman-Wunsch,SRF-GranularityAware,Windows,3540,4428,cpu,20,17100,307800
Needleman-Wunsch,SRF-GranularityAware,Windows,3595,4432,cpu,40,8550,316350
Forward,SRF-GranularityAware,Darwin,49,1168,cpu,1,950,0
Forward,SRF-GranularityAware,Darwin,49,1168,cpu,50,20,930
Forward,SRF-GranularityAware,Linux,58,3608,cpu,1,950,0
Forward,SRF-GranularityAware,Linux,59,3624,cpu,50,20,930
Forward,SRF-GranularityAware,Windows,132,4464,cpu,1,950,0
Forward,SRF-GranularityAware,Windows,133,4460,cpu,50,20,930
Graph-DP,SRF-GranularityAware,Darwin,60,1264,cpu,1,1999,0
Graph-DP,SRF-GranularityAware,Darwin,60,1264,cpu,100,20,1979
Graph-DP,SRF-GranularityAware,Linux,68,3596,cpu,1,1999,0
Graph-DP,SRF-GranularityAware,Linux,70,3596,cpu,100,20,1979
Graph-DP,SRF-GranularityAware,Windows,168,4504,cpu,1,1999,0
Graph-DP,SRF-GranularityAware,Windows,174,4508,cpu,100,20,1979
