algorithm,variant,platform,backend_type,granularity_unit_size,relative_cost_ratio,cache_regime,accelerator_feasibility,locality_index,runtime_us
Needleman-Wunsch,SRF-GranularityAware,Darwin,cpu,1,0.9025,UNKNOWN,OBSERVED,0.0,8820
Needleman-Wunsch,SRF-GranularityAware,Darwin,cpu,40,0.9025,UNKNOWN,OBSERVED,7908.75,8039
Needleman-Wunsch,SRF-GranularityAware,Linux,cpu,1,0.9025,UNKNOWN,OBSERVED,0.0,7121
Needleman-Wunsch,SRF-GranularityAware,Linux,cpu,40,0.9025,UNKNOWN,OBSERVED,7908.75,6336
Needleman-Wunsch,SRF-GranularityAware,Windows,cpu,1,0.9025,UNKNOWN,OBSERVED,0.0,7018
Needleman-Wunsch,SRF-GranularityAware,Windows,cpu,40,0.9025,UNKNOWN,OBSERVED,7908.75,7017
Forward,SRF-GranularityAware,Darwin,cpu,1,0.475,UNKNOWN,OBSERVED,0.0,55
Forward,SRF-GranularityAware,Darwin,cpu,50,0.475,UNKNOWN,OBSERVED,18.6,54
Forward,SRF-GranularityAware,Linux,cpu,1,0.475,UNKNOWN,OBSERVED,0.0,60
Forward,SRF-GranularityAware,Linux,cpu,50,0.475,UNKNOWN,OBSERVED,18.6,105
Forward,SRF-GranularityAware,Windows,cpu,1,0.475,UNKNOWN,OBSERVED,0.0,135
Forward,SRF-GranularityAware,Windows,cpu,50,0.475,UNKNOWN,OBSERVED,18.6,135
Graph-DP,SRF-GranularityAware,Darwin,cpu,1,4.0,UNKNOWN,OBSERVED,0.0,112
Graph-DP,SRF-GranularityAware,Darwin,cpu,100,4.0,UNKNOWN,OBSERVED,19.79,92
Graph-DP,SRF-GranularityAware,Linux,cpu,1,4.0,UNKNOWN,OBSERVED,0.0,78
Graph-DP,SRF-GranularityAware,Linux,cpu,100,4.0,UNKNOWN,OBSERVED,19.79,74
Graph-DP,SRF-GranularityAware,Windows,cpu,1,4.0,UNKNOWN,OBSERVED,0.0,197
Graph-DP,SRF-GranularityAware,Windows,cpu,100,4.0,UNKNOWN,OBSERVED,19.79,169
